Continent,Location_of_incursion,Date_of_incursion,Year_of_incursion,Month_of_incursion,Species,Animal_details,Ownership_status,Vaccination,Age_class,Breed,Origin_continent,Location_origin_of_animal,Time_bet_incursion_and_symptoms,Type_of_incursion,Borders_crossed,Mode_of_travel,Incursion_details,Full_details,Seen_details,Seen_details1,Phylogenetic_analysis,Public_health_response,Local_transmission,Unusual_cs_transmission,ID_number,Study
North America,United States of America,Feb-17,2017,February,Cat,"Owned (newly adopted), unvaccinated (for rabies), adult female with 3 kittens",Owned,Unvaccinated,Adult,,North America,United States of America,5 months,Human-mediated,In-country,By air/land (presumed),"Imported from North Carolina to Arkansas along with >10 other pets (cats, dogs) then travelled to Summit County, Ohio and gave birth; surrendered to Humane Society of Summit County;  vaccinated but not for rabies (according to facility guidelines, rabies vaccination only administered at time of spay/neuter); suspected infection by raccoon in North Carolina indicated by phylogenetic analysis","Owned (newly adopted), unvaccinated (for rabies), adult female with 3 kittens; imported from North Carolina to Arkansas along with >10 other pets (cats, dogs) then travelled to Summit County, Ohio and gave birth; surrendered to Humane Society of Summit County;  vaccinated but not for rabies (according to facility guidelines, rabies vaccination only administered at time of spay/neuter); suspected infection by raccoon in North Carolina indicated by phylogenetic analysis","Newly adopted before importation from North Carolina to Arkansas along with >10 other pets (cats, dogs) then later surrendered to Humane Society of Summit County in Ohio;  vaccinated but not for rabies (according to facility guidelines, rabies vaccination only administered at time of spay/neuter); suspected infection by raccoon","Owned (newly adopted), unvaccinated (for rabies), adult female with 3 kittens; imported from North Carolina to Arkansas along with >10 other pets (cats, dogs) then travelled to Summit County, Ohio and gave birth; surrendered to Humane Society of Summit County;  vaccinated but not for rabies (according to facility guidelines, rabies vaccination only administered at time of spay/neuter); suspected infection by raccoon in North Carolina indicated by phylogenetic analysis",Yes,"PEP, vaccination of exposed animals (recommended), 6-month quarantine of exposed animals (cats)",No local transmission,No,113,"Singh et al., 2018 (60)"
North America,United States of America,Nov-17,2017,November,Cat,"Owned, unvaccinated",Owned,Unvaccinated,,,North America,United States of America,,,In-country,By land (presumed),"Imported from Westchester County to Long Island, New York;  bit veterinary staff; suspected infection by raccoon indicated by phylogenetic analysis","Owned, unvaccinated; imported from Westchester County to Long Island, New York;  bit veterinary staff; suspected infection by raccoon indicated by phylogenetic analysis",Imported from Westchester County to Long Island without vaccination;  bit veterinary staff; suspected infection by raccoon,"Owned, unvaccinated; imported from Westchester County to Long Island, New York;  bit veterinary staff; suspected infection by raccoon indicated by phylogenetic analysis",Yes,,No local transmission,No,114,"Brunt et al., 2020 (147)"
North America,United States of America,Dec-17,2017,December,Dog,"Owned, 6-month-old chihuahua ",Owned,,Juvenile,,Africa,Egypt,1 day,Human-mediated,Intercontinental,By air,"Imported from Egypt with 3 other dogs by animal rescue organization to JFK airport, New York then Connecticut despite injuries; suspected falsified rabies vaccination document; bit 1 human (flight parent) before boarding plane","Owned, 6-month-old chihuahua; imported from Egypt with 3 other dogs by animal rescue organization to JFK airport, New York then Connecticut despite injuries; suspected falsified rabies vaccination document; bit 1 human (flight parent) before boarding plane",Iimported from with 3 other dogs by animal rescue organization despite visible injuries; suspected falsified rabies vaccination document; bit 1 human (flight parent) before boarding plane,"Owned, 6-month-old chihuahua; imported from with 3 other dogs by animal rescue organization to JFK airport, New York then Connecticut despite injuries; suspected falsified rabies vaccination document; bit 1 human (flight parent) before boarding plane",No,"Contact tracing, PEP, booster vaccination of exposed animals (dogs), quarantine of exposed animals (dogs), monitoring",No local transmission,No,115,"Blanton et al., 2009 (149); Hercules et al., 2018 (138); Chevalier & Havas, 2019 (150); Latzer et al., 2022 (143)"
North America,United States of America,Jan-19,2019,January,Dog,"Owned, recently fostered 2-year-old",Owned,,Adult,,Africa,Egypt (via Canada),1 month,Human-mediated,"Intercontinental, international (shared border)","By air, land","Imported from Egypt to Port Huron to Toronto, Canada with >20 other dogs; brought by car through Port Hurton, Michigan to Kansas City; fostered with >10 animals (dogs, cats); bit 1 human (veterinary technician) during examination; had rabies vaccination certificate but serologic testing showed lack of vaccination in some dogs, indicating vaccination failure or falsification of vaccination certificate","Owned, recently fostered 2-year-old; imported from Egypt to Port Huron to Toronto, Canada with >20 other dogs; brought by car through Port Hurton, Michigan to Kansas City; fostered with >10 animals (dogs, cats); bit 1 human (veterinary technician) during examination; had rabies vaccination certificate but serologic testing showed lack of vaccination in some dogs, indicating vaccination failure or falsification of vaccination certificate","Recently fostered before importation with >20 other dogs; bit 1 human (veterinary technician) during examination; had rabies vaccination certificate but serologic testing showed lack of vaccination in some dogs, indicating vaccination failure or falsification of vaccination certificate","Owned, recently fostered 2-year-old; imported to Port Huron to Toronto, Canada with >20 other dogs; brought by car through Port Hurton, Michigan to Kansas City; fostered with >10 animals (dogs, cats); bit 1 human (veterinary technician) during examination; had rabies vaccination certificate but serologic testing showed lack of vaccination in some dogs, indicating vaccination failure or falsification of vaccination certificate",No,"PEP, suspension of dogs entering USA from Egypt, vaccination of exposed animals (booster) and 45-day monitoring, 6-month quarantine of exposed animals (unvaccinated dogs), quarantine of imported animals (dogs) and serologic monitoring",No local transmission,No,116,"Raybern et al, 2019 (151); Latzer et al., 2022 (143)"
North America,United States of America,May-21,2021,May,Anteater,Zoo-owned,,,,,North America,United States of America,2 months,Human-mediated,In-country,By air/land (presumed),"Imported from Virginia zoo to Tennessee Zoo, Washington County; suspected infection by raccoon indicated by phylogenetic analysis","Zoo-owned; imported from Virginia zoo to Tennessee Zoo, Washington County; suspected infection by raccoon indicated by phylogenetic analysis",Imported from Virginia zoo to Tennessee Zoo; suspected infection by raccoon,"Zoo-owned; imported from Virginia zoo to Tennessee Zoo, Washington County; suspected infection by raccoon indicated by phylogenetic analysis",Yes,"Contact tracing, PEP, vaccination of exposed animal (tamandua) that was presumed unvaccinated due to missing vaccination records), quarantine of exposed animal (tamandua)",No local transmission,No,117,"Grome et al, 2022 (152)"
North America,United States of America,Jun-21,2021,June,Dog,"Owned, vaccinated 5-month-old",Owned,Vaccinated,Juvenile,,Asia,Azerbaijan,3 days,Human-mediated,Intercontinental,"By air, other","Imported with >30 other animals (dogs, cat) by animal rescue organization from Baku, Azerbaijan to Chicago O’Hare airport, Illinois, USA; relocated to Pennsylvania; serologic testing showed insufficient levels despite confirmed vaccination in Egypt, indicating vaccination failure due to underdosing","Owned, vaccinated 5-month-old; imported with >30 other animals (dogs, cat) by animal rescue organization from Baku, Azerbaijan to Chicago O’Hare airport, Illinois, USA; relocated to Pennsylvania; serologic testing showed insufficient levels despite confirmed vaccination in Egypt, indicating vaccination failure due to underdosing","Imported with >30 other animals (dogs, cat) by animal rescue organization; serologic testing showed insufficient levels despite confirmed vaccination, indicating vaccination failure due to underdosing","Owned, vaccinated 5-month-old; imported with >30 other animals (dogs, cat) by animal rescue organization from Baku, Azerbaijan to Chicago O’Hare airport, Illinois, USA; relocated to Pennsylvania; serologic testing showed insufficient levels despite confirmed vaccination in Egypt, indicating vaccination failure due to underdosing",No,"Contact tracing, PEP, (booster) vaccination of exposed animals (dogs, cat), serologic monitoring and 45-day quarantine of imported animals (dogs), suspension of dog importations from DMRVV high-risk countries",No local transmission,No,118,"Williams & Pieracci, 2021 (153);  Whitehill et al., 2022 (154)"
North America,Canada,Jul-21,2021,July,Dog,"Owned (newly adopted),  presumed vaccinated three-month-old puppy ",Owned,Vaccinated,3 months and below,,Asia,Iran (via Germany),11 days,Human-mediated,Intercontinental,By air,"Imported from Tehran, Iran by animal rescue organization to Ontario, Canada through Frankfurt, Germany; was not revaccinated upon arrival despite vaccination policy for young dogs","Owned (newly adopted), presumed vaccinated, three-month-old puppy; imported from Tehran, Iran by animal rescue organization to Ontario, Canada through Frankfurt, Germany; was not revaccinated upon arrival despite vaccination policy for young dogs",Newly adopted and imported by animal rescue organization; presumed vaccinated but was not revaccinated upon arrival despite vaccination policy for young dogs,"Owned (newly adopted), presumed vaccinated, three-month-old puppy; imported from Tehran, Iran by animal rescue organization to Ontario, Canada through Frankfurt, Germany; was not revaccinated upon arrival despite vaccination policy for young dogs",No,"Contact tracing, PEP, (booster) vaccination of exposed animals (dog), 3-month quarantine of exposed animal (dog) due to delayed identification ",No local transmission,No,119,"Rebellato et al., 2022 (155)"
South America,Brazil,2006,2006,,Dog,,,,,,South America,Bolivia,,Natural,International (shared border),By land,"Incursion from Germán Busch Province into Corumbá, Mato Grosso do Sul, Brazil; attributed to high numbers of free-roaming dogs","Incursion from Germán Busch Province into Corumbá, Mato Grosso do Sul, Brazil; attributed to high numbers of free-roaming dogs",Attributed to high numbers of free-roaming dogs,"Incursion from Germán Busch Province into Corumbá, Mato Grosso do Sul, Brazil; attributed to high numbers of free-roaming dogs",No,Mass dog vaccination,No local transmission,No,120,"Galhardo et al., 2019 (156)"
South America,Peru,2015,2015,,Dog,,,,,,South America,Peru,,Natural,In-country,By land,"Incursion from Puno into Arequipa; attributed to low vaccination rate among free-roaming dogs, commonly found foraging in water channels throughout city that collect garbage for foraging during dry season; resulted in outbreak","Incursion from Puno into Arequipa; attributed to low vaccination rate among free-roaming dogs, commonly found foraging in water channels throughout city that collect garbage for foraging during dry season; resulted in outbreak","Incursion from Puno into Arequipa; attributed to low vaccination rate among free-roaming dogs, commonly found foraging in water channels throughout city that collect garbage for foraging during dry season; resulted in outbreak","Incursion from Puno into Arequipa; attributed to low vaccination rate among free-roaming dogs, commonly found foraging in water channels throughout city that collect garbage for foraging during dry season; resulted in outbreak",No,"Mass dog vaccination, culling (stray dogs)",Outbreak,No,121,"Castillo-Neyra et al., 2017 (157); Castillo-Neyra et al., 2017 (158); Raynor et al., 2020 (159)"
South America,Brazil,2015,2015,,Dog,,,,,,South America,Bolivia,,Natural,International (shared border),By land,Incursion from Bolivia into Maranhão; further spread led to outbreak in Mato Grosso do Sul,Incursion from Bolivia into Maranhão; further spread led to outbreak in Mato Grosso do Sul,Further spread led to outbreak in Mato Grosso do Sul,"Incursion into Maranhão, Brazil; further spread led to outbreak in Mato Grosso do Sul",No,Outbreak ended in 2015,Outbreak,No,122,"Benavides et al., 2019 (160)"
